"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","genus","taxonRank","scientificName","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","occurrenceID","clade","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT","BasisOfRecord"
"Anacampseros telephiastrum",20.875,-33.125,"ZAF","NA","453145403","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",2005,NA,"SANBI","PRECIS","NA","Anacampserotaceae",164.284332,123.766449,474,4522.134766,295.534027,34.783772,261,180.284332,127.534019,224.284332,99.534019,170.898163,20.249685,8,19.766449,57.232292,31,39.449711,42.749058,16.4284332,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",22.125,-33.625,"ZAF","NA","453145402","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1986,NA,"SANBI","PRECIS","NA","Anacampserotaceae",182,114,474.516693,4056.633057,297.483307,57.233551,240.516693,211.047455,123,236,123,395.517914,42.283073,27.266939,14.766449,116.349846,83.516693,93.567268,83.516693,18.2,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",21.125,-33.625,"ZAF","NA","453145401","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1982,NA,"SANBI","PRECIS","NA","Anacampserotaceae",175.766449,111.516693,474,3990.718262,291.033447,56.516762,235,191.766449,118.516762,229.033463,118.516762,289.700226,32.716858,18.966543,17,94.400261,58.449921,72.700653,58.449921,17.5766449,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",20.625,-33.125,"ZAF","NA","453145400","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1999,NA,"SANBI","PRECIS","NA","Anacampserotaceae",154.233627,123,472,4537.033203,286.733063,25.966612,261,103.966614,194.487366,214.966614,89.966614,187.134735,22,10,24.467173,62.750244,35.300396,36.550083,58,15.4233627,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",19.625,-33.625,"ZAF","NA","453145399","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1997,NA,"SANBI","PRECIS","NA","Anacampserotaceae",153.763779,109,465.266998,4102.464844,273.030792,38.763775,234.516693,100.28054,208.763779,208.763779,97.28054,319.352325,41.783634,13.516694,37.233551,119.134666,42.550079,42.550079,115.85041,15.3763779,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",23.875,-33.625,"ZAF","NA","453145398","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",2000,NA,"SANBI","PRECIS","NA","Anacampserotaceae",127.216209,111.516693,491,3722.066895,237.465897,10.216207,227.24968,166.465897,73.715645,177.465897,73.715645,664.63446,71.349915,39.166939,17.399279,205.266052,120.53434,182.698715,120.53434,12.7216209,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",25.375,-31.375,"ZAF","NA","453145396","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1988,NA,"SANBI","PRECIS","NA","Anacampserotaceae",159.249756,126.249687,470,4845.800781,287.000061,17.733061,269,202.483307,84.483307,219.483307,84.483307,365.134552,57.516624,10,60.249683,172.050507,30,168.066635,30,15.9249756,"PRESERVED_SPECIMEN"
"Anacampseros subnuda",27.125,-26.875,"ZAF","NA","453145391","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros subnuda Poelln.","NULL",2007,NA,"SANBI","PRECIS","NA","Anacampserotaceae",171,130,484,4732.916016,282,14,268,223.233551,93,223.233551,93,652.31842,113.100044,5,71,330.050446,16.750246,330.050446,16.750246,17.1,"PRESERVED_SPECIMEN"
"Anacampseros rufescens",30.261667,-30.671667,"ZAF","1","1257664887","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros rufescens Sweet","NULL",2009,NA,"MO","MO","NA","Anacampserotaceae",184.993378,71.923592,457.916656,2656.581543,254.916962,98.833771,156.083191,215.910019,144.833771,220.993378,144.833771,1212.277832,147.930832,35.999695,43.076565,439.79248,110.998932,415.792175,110.998932,18.4993378,"PRESERVED_SPECIMEN"
"Avonia ustulata",30.375,-29.875,"ZAF","NA","616238994","Anacampserotaceae","Avonia","SPECIES","Avonia ustulata (E.Mey. ex Fenzl) G.D.Rowley","NULL",2007,NA,"SANBI","PRECIS","NA","Anacampserotaceae",161.91687,93.750244,486.750244,3138.33252,245.16655,52.916866,192.24968,198.16655,111.916862,202.16655,111.916862,845.923584,117.534172,17.267084,51.766525,348.602509,55.334156,330.102875,55.334156,16.191687,"PRESERVED_SPECIMEN"
